sensor11|Thu Mar 09 2017 21:47:28 GMT+0100 (CET)|1489092448978| got data from server
sensor11|Thu Mar 09 2017 21:47:28 GMT+0100 (CET)|1489092448986| start-s11
sensor11|Thu Mar 09 2017 21:47:28 GMT+0100 (CET)|1489092448986| got start command
sensor11|Thu Mar 09 2017 21:47:28 GMT+0100 (CET)|1489092448991| reset BME280
sensor11|Thu Mar 09 2017 21:47:29 GMT+0100 (CET)|1489092449001| got data from BME280
sensor11|Thu Mar 09 2017 21:47:29 GMT+0100 (CET)|1489092449001| 2322
sensor11|Thu Mar 09 2017 21:47:29 GMT+0100 (CET)|1489092449007| 4775
sensor11|Thu Mar 09 2017 21:47:29 GMT+0100 (CET)|1489092449007| 332
server  |Thu Mar 09 2017 21:47:32 GMT+0100 (CET)|1489092452957| Sensor11SendOk
server  |Thu Mar 09 2017 21:47:33 GMT+0100 (CET)|1489092453514| 2322|4775|332|323|11
sensor11|Thu Mar 09 2017 21:47:33 GMT+0100 (CET)|1489092453515| Sending data to server
sensor11|Thu Mar 09 2017 21:47:34 GMT+0100 (CET)|1489092454760| SendOk
sensor11|Thu Mar 09 2017 21:47:34 GMT+0100 (CET)|1489092454760| 
sensor11|Thu Mar 09 2017 21:47:48 GMT+0100 (CET)|1489092468615| wakeUp
server  |Thu Mar 09 2017 21:48:03 GMT+0100 (CET)|1489092483651| Sensor11StartSending
server  |Thu Mar 09 2017 21:48:03 GMT+0100 (CET)|1489092483654| Sensor11StartSending
sensor11|Thu Mar 09 2017 21:48:03 GMT+0100 (CET)|1489092483661| got data from server
sensor11|Thu Mar 09 2017 21:48:03 GMT+0100 (CET)|1489092483669| start-s11
sensor11|Thu Mar 09 2017 21:48:03 GMT+0100 (CET)|1489092483669| got start command
sensor11|Thu Mar 09 2017 21:48:03 GMT+0100 (CET)|1489092483674| reset BME280
sensor11|Thu Mar 09 2017 21:48:03 GMT+0100 (CET)|1489092483685| got data from BME280
sensor11|Thu Mar 09 2017 21:48:03 GMT+0100 (CET)|1489092483685| 2331
sensor11|Thu Mar 09 2017 21:48:03 GMT+0100 (CET)|1489092483690| 4789
sensor11|Thu Mar 09 2017 21:48:03 GMT+0100 (CET)|1489092483690| 326
server  |Thu Mar 09 2017 21:48:07 GMT+0100 (CET)|1489092487321| Sensor11SendOk
server  |Thu Mar 09 2017 21:48:08 GMT+0100 (CET)|1489092488197| 2331|4789|326|323|11
sensor11|Thu Mar 09 2017 21:48:08 GMT+0100 (CET)|1489092488198| Sending data to server
sensor11|Thu Mar 09 2017 21:48:09 GMT+0100 (CET)|1489092489566| SendOk
sensor11|Thu Mar 09 2017 21:48:09 GMT+0100 (CET)|1489092489566| 
sensor11|Thu Mar 09 2017 21:48:23 GMT+0100 (CET)|1489092503233| wakeUp
server  |Thu Mar 09 2017 21:48:38 GMT+0100 (CET)|1489092518334| Sensor11StartSending
server  |Thu Mar 09 2017 21:48:38 GMT+0100 (CET)|1489092518337| Sensor11StartSending
sensor11|Thu Mar 09 2017 21:48:38 GMT+0100 (CET)|1489092518344| got data from server
sensor11|Thu Mar 09 2017 21:48:38 GMT+0100 (CET)|1489092518352| start-s11
sensor11|Thu Mar 09 2017 21:48:38 GMT+0100 (CET)|1489092518352| got start command
sensor11|Thu Mar 09 2017 21:48:38 GMT+0100 (CET)|1489092518357| reset BME280
sensor11|Thu Mar 09 2017 21:48:38 GMT+0100 (CET)|1489092518367| got data from BME280
sensor11|Thu Mar 09 2017 21:48:38 GMT+0100 (CET)|1489092518367| 2340
sensor11|Thu Mar 09 2017 21:48:38 GMT+0100 (CET)|1489092518373| 4798
sensor11|Thu Mar 09 2017 21:48:38 GMT+0100 (CET)|1489092518373| 332
server  |Thu Mar 09 2017 21:48:42 GMT+0100 (CET)|1489092522300| Sensor11SendOk
server  |Thu Mar 09 2017 21:48:42 GMT+0100 (CET)|1489092522880| 2340|4798|332|323|11
sensor11|Thu Mar 09 2017 21:48:42 GMT+0100 (CET)|1489092522881| Sending data to server
sensor11|Thu Mar 09 2017 21:48:44 GMT+0100 (CET)|1489092524344| SendOk
sensor11|Thu Mar 09 2017 21:48:44 GMT+0100 (CET)|1489092524345| 
sensor11|Thu Mar 09 2017 21:48:58 GMT+0100 (CET)|1489092538900| wakeUp
server  |Thu Mar 09 2017 21:49:13 GMT+0100 (CET)|1489092553017| Sensor11StartSending
server  |Thu Mar 09 2017 21:49:13 GMT+0100 (CET)|1489092553020| Sensor11StartSending
sensor11|Thu Mar 09 2017 21:49:13 GMT+0100 (CET)|1489092553027| got data from server
sensor11|Thu Mar 09 2017 21:49:13 GMT+0100 (CET)|1489092553035| start-s11
sensor11|Thu Mar 09 2017 21:49:13 GMT+0100 (CET)|1489092553035| got start command
sensor11|Thu Mar 09 2017 21:49:13 GMT+0100 (CET)|1489092553040| reset BME280
sensor11|Thu Mar 09 2017 21:49:13 GMT+0100 (CET)|1489092553050| got data from BME280
sensor11|Thu Mar 09 2017 21:49:13 GMT+0100 (CET)|1489092553050| 2349
sensor11|Thu Mar 09 2017 21:49:13 GMT+0100 (CET)|1489092553056| 4810
sensor11|Thu Mar 09 2017 21:49:13 GMT+0100 (CET)|1489092553057| 331
server  |Thu Mar 09 2017 21:49:16 GMT+0100 (CET)|1489092556959| Sensor11SendOk
server  |Thu Mar 09 2017 21:49:17 GMT+0100 (CET)|1489092557563| 2349|4810|331|323|11
sensor11|Thu Mar 09 2017 21:49:17 GMT+0100 (CET)|1489092557564| Sending data to server
sensor11|Thu Mar 09 2017 21:49:18 GMT+0100 (CET)|1489092558801| SendOk
sensor11|Thu Mar 09 2017 21:49:18 GMT+0100 (CET)|1489092558801| 
sensor11|Thu Mar 09 2017 21:49:32 GMT+0100 (CET)|1489092572469| wakeUp
server  |Thu Mar 09 2017 21:49:47 GMT+0100 (CET)|1489092587701| Sensor11StartSending
server  |Thu Mar 09 2017 21:49:47 GMT+0100 (CET)|1489092587703| Sensor11StartSending
sensor11|Thu Mar 09 2017 21:49:47 GMT+0100 (CET)|1489092587710| got data from server
sensor11|Thu Mar 09 2017 21:49:47 GMT+0100 (CET)|1489092587718| start-s11
sensor11|Thu Mar 09 2017 21:49:47 GMT+0100 (CET)|1489092587719| got start command
sensor11|Thu Mar 09 2017 21:49:47 GMT+0100 (CET)|1489092587723| reset BME280
sensor11|Thu Mar 09 2017 21:49:47 GMT+0100 (CET)|1489092587735| got data from BME280
sensor11|Thu Mar 09 2017 21:49:47 GMT+0100 (CET)|1489092587735| 2358
sensor11|Thu Mar 09 2017 21:49:47 GMT+0100 (CET)|1489092587739| 4820
sensor11|Thu Mar 09 2017 21:49:47 GMT+0100 (CET)|1489092587740| 335
server  |Thu Mar 09 2017 21:49:51 GMT+0100 (CET)|1489092591493| Sensor11SendOk
server  |Thu Mar 09 2017 21:49:52 GMT+0100 (CET)|1489092592246| 2358|4820|335|323|11
sensor11|Thu Mar 09 2017 21:49:52 GMT+0100 (CET)|1489092592247| Sending data to server
sensor11|Thu Mar 09 2017 21:49:53 GMT+0100 (CET)|1489092593556| SendOk
sensor11|Thu Mar 09 2017 21:49:53 GMT+0100 (CET)|1489092593556| 
sensor11|Thu Mar 09 2017 21:50:08 GMT+0100 (CET)|1489092608136| wakeUp
server  |Thu Mar 09 2017 21:50:22 GMT+0100 (CET)|1489092622384| Sensor11StartSending
server  |Thu Mar 09 2017 21:50:22 GMT+0100 (CET)|1489092622386| Sensor11StartSending
sensor11|Thu Mar 09 2017 21:50:22 GMT+0100 (CET)|1489092622393| got data from server
sensor11|Thu Mar 09 2017 21:50:22 GMT+0100 (CET)|1489092622402| start-s11
sensor11|Thu Mar 09 2017 21:50:22 GMT+0100 (CET)|1489092622402| got start command
sensor11|Thu Mar 09 2017 21:50:22 GMT+0100 (CET)|1489092622406| reset BME280
sensor11|Thu Mar 09 2017 21:50:22 GMT+0100 (CET)|1489092622417| got data from BME280
sensor11|Thu Mar 09 2017 21:50:22 GMT+0100 (CET)|1489092622417| 2366
